sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]","[0.5, 1.0, 1.5]","[11.852679252624512, 12.84724235534668, 13.841804504394531]",10.546628562994002,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]","[2.0, 2.5, 4.0, 4.5, 5.0]","[14.836366653442383, 15.830928802490234, 18.81461524963379, 19.80917739868164, 20.803739547729492]",10.532832279351764,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]","[3.0, 3.5]","[16.825490951538086, 17.820053100585938]",10.526439105587514,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]","[5.5, 6.0, 6.5]","[21.798301696777344, 22.792865753173828, 23.787425994873047]",10.249621891720459,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]",[7.0],[24.7819881439209],10.248068780357771,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]",[7.5],[25.77655029296875],10.33897598358159,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]","[8.0, 8.5, 9.0]","[26.7711124420166, 27.765674591064453, 28.760238647460938]",10.20106179707057,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]",[9.5],[29.754798889160156],10.240042927442978,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[-1.319759726524353, -0.8591899871826172, 0.1984868049621582, 0.8282634615898132, 0.25198739767074585, 0.6134874820709229, 0.37163105607032776, -0.16193830966949463, 0.493317186832428, 1.3410673141479492, 0.18229475617408752, 0.27359676361083984, -0.19719168543815613, -0.2098553478717804, 0.5782765746116638, 3.494056463241577, 0.9770427942276001, 0.8959963917732239, 0.44278132915496826, 0.6744812726974487, 0.6956162452697754, 0.16714343428611755, 0.5160932540893555, 0.06337177753448486, -1.4625378847122192, -0.08401632308959961, 1.7317922115325928, 0.3074929118156433, 3.895991802215576, -0.7709338068962097, 0.23509496450424194, 0.3160930871963501, -0.6011720299720764, 0.368076354265213, 1.650528907775879, 0.06173369288444519, 0.7438702583312988, 1.5674117803573608, 0.1494876742362976, -1.6333361864089966, 1.3704159259796143, 0.8433273434638977, -1.406292200088501, -2.611694574356079, -0.08590376377105713, -0.1822182834148407, 1.2073631286621094, 0.08537793159484863, -0.5758715867996216, 1.4054064750671387, 0.44314098358154297, 0.2731601893901825, -0.21417419612407684, -0.5130510926246643, -0.9748857617378235, -0.2907423973083496, -0.20266148447990417, -0.2957910895347595, 0.03902801126241684, -0.014642730355262756, -1.0734590291976929, 0.32036474347114563, -1.628021001815796, -1.4805586338043213]",[10.0],[30.74936294555664],9.372988066171999,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[0.0, 0.5, 1.0]","[6.620783805847168, 7.615346431732178, 8.609909057617188]",8.491359804840364,,
